,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
0,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!",Now!,Up. Get up!,Good luck...HARRY Potter.,"It's not really goodbye, after all.","There, there, Hagrid."
1,"Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!",Now!,Up. Get up!
2,He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.,It should be a lovely day at the zoo.,"How's that, pumpkin?"
3,Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.
4,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy."
5,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all..."
6,Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.
7,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.
8,Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.
9,"I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!
10,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!
11,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!
12,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.
13,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.
14,I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day..."
15,"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.
16,Anytime.,Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?
17,"I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?,Who did this?,How did you get in there?,My darling boy!,Mum! Mummy! Help me!,Snake!
18,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?,Who did this?,How did you get in there?,My darling boy!,Mum! Mummy! Help me!
19,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!",And smile!,There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?
20,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!
21,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings."
22,"Hey, give it back! It's mine!","Dad, look! HARRY's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!
23,Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear.",No more mail through this letterbox.,Yours? Who'd be writing to you?,"Hey, give it back! It's mine!","Dad, look! HARRY's got a letter!",Marge is ill. Ate a funny whelk.
24,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, HARRY!",Because there's no post on Sundays?
25,They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, HARRY!"
26,Let go of me!,They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.
27,"Make a wish, HARRY.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!,That's it!,Let go of me!,They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?"
28,I am.,I'm not HARRY.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, HARRY.","Dry up, Dursley, you great prune.",You are breaking and entering!,"I demand that you leave at once, Sir!",Sorry about that.,Who's there?,"Make a wish, HARRY."
29,Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.,I'm not HARRY.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, HARRY.","Dry up, Dursley, you great prune."
30,"Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.,I'm not HARRY.,Particularly 'round the middle.,But you're a bit more along than I would have expected.
31,"Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.
32,Learnt what?,"No? Blimey, HARRY, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.
33,I'm a what?,"You're a wizard, HARRY.",Learnt what?,"No? Blimey, HARRY, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all."
34,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, HARRY.",Learnt what?,"No? Blimey, HARRY, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?"
35,I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, HARRY.",Learnt what?,"No? Blimey, HARRY, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts."
36,"I mean, I'm just HARRY.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, HARRY.",Learnt what?,"No? Blimey, HARRY, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts."
37,Just HARRY.,"I mean, I'm just HARRY.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, HARRY.",Learnt what?,"No? Blimey, HARRY, didn't you ever wonder where your mum and dad learned it all?","Sorry, no."
38,"Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just HARRY, did you ever make anything happen?",Just HARRY.,"I mean, I'm just HARRY.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, HARRY."
39,"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just HARRY, did you ever make anything happen?",Just HARRY.,"I mean, I'm just HARRY.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?
40,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just HARRY, did you ever make anything happen?",Just HARRY.,"I mean, I'm just HARRY.",I mean...l can't be a wizard.,"No, you've made a mistake."
41,You knew all along and you never told me?,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just HARRY, did you ever make anything happen?",Just HARRY.,"I mean, I'm just HARRY.",I mean...l can't be a wizard.
42,Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.,"Isn't it wonderful?""",We have a witch in the family.,My mother and father were so proud the day she got her letter.
43,You told me my parents died in a car crash.,Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.,"Isn't it wonderful?""",We have a witch in the family.
44,Muggle?,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",He'll not be going.,It's a scandal!,It's an outrage!,We had to say something.,A car crash killed Lily and James Potter?,A car crash? ,You told me my parents died in a car crash.,Blown up?,And we got landed with you.
45,Okay.,"Strickly speaking, I'm not allowed to do magic.","Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that.",Never insult Albus Dumbledore in front of me.,I will not pay to have some crackpot old fool teach him magic tricks.,"he'll be under the finest headmaster that Hogwarts has ever seen, Albus Dumbledore.",He's going to the finest school of witchcraft and wizardry in the world and...,This boy's had his name down ever since he were born.,Non-magic folk.,Muggle?,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
46,First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.,"Ooh, We're a bit behind schedule.",Okay.,"Strickly speaking, I'm not allowed to do magic.","Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that.",Never insult Albus Dumbledore in front of me.,I will not pay to have some crackpot old fool teach him magic tricks.,"he'll be under the finest headmaster that Hogwarts has ever seen, Albus Dumbledore.",He's going to the finest school of witchcraft and wizardry in the world and...
47,One pair of dragon hide gloves.,"Essential bit of equipment, HARRY.",First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.,"Ooh, We're a bit behind schedule.",Okay.,"Strickly speaking, I'm not allowed to do magic.","Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that.",Never insult Albus Dumbledore in front of me.,I will not pay to have some crackpot old fool teach him magic tricks.
48,"Hagrid, Do they mean from a real dragon?",One pair of dragon hide gloves.,"Essential bit of equipment, HARRY.",First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.,"Ooh, We're a bit behind schedule.",Okay.,"Strickly speaking, I'm not allowed to do magic.","Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that.",Never insult Albus Dumbledore in front of me.
49,You'd like a dragon?,Crikey. I'd love a dragon.,"They don't mean a penguin, do they?","Hagrid, Do they mean from a real dragon?",One pair of dragon hide gloves.,"Essential bit of equipment, HARRY.",First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.,"Ooh, We're a bit behind schedule.",Okay.
50,"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad.",Vastly misunderstood.,"Vastly misunderstood beasts, HARRY.",You'd like a dragon?,Crikey. I'd love a dragon.,"They don't mean a penguin, do they?","Hagrid, Do they mean from a real dragon?",One pair of dragon hide gloves.,"Essential bit of equipment, HARRY.",First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course."
51,Can we find all this in London?,"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad.",Vastly misunderstood.,"Vastly misunderstood beasts, HARRY.",You'd like a dragon?,Crikey. I'd love a dragon.,"They don't mean a penguin, do they?","Hagrid, Do they mean from a real dragon?",One pair of dragon hide gloves.,"Essential bit of equipment, HARRY.",First year's students will require three sets of plain work robes one wand.
52,"Oh, nice to meet you.",He will be your Defense Against the Dark Arts teacher at Hogwarts,"HARRY, This is Professor Quirrell. ","Hello, professor. I didn't see you there.",HARRY Potter. Can't tell you how pleased I am to meet you.,I can't believe I'm meeting you at last.,"Doris Crockford, Mr Potter.",Welcome back.,"Welcome back, Mr. Potter.",It's HARRY Potter!,Bless my soul.
53,Goodbye.,Lots to buy.,"Yes, well, must be going now.","Not that you need it, eh, Potter?",Fearfully fascinating subject.,"Oh, nice to meet you.",He will be your Defense Against the Dark Arts teacher at Hogwarts,"HARRY, This is Professor Quirrell. ","Hello, professor. I didn't see you there.",HARRY Potter. Can't tell you how pleased I am to meet you.,I can't believe I'm meeting you at last.
54,"But why am I famous, Hagrid?","See, HARRY? You're famous.",Goodbye.,Lots to buy.,"Yes, well, must be going now.","Not that you need it, eh, Potter?",Fearfully fascinating subject.,"Oh, nice to meet you.",He will be your Defense Against the Dark Arts teacher at Hogwarts,"HARRY, This is Professor Quirrell. ","Hello, professor. I didn't see you there."
55,"All those people back there, how is it they know who I am?","But why am I famous, Hagrid?","See, HARRY? You're famous.",Goodbye.,Lots to buy.,"Yes, well, must be going now.","Not that you need it, eh, Potter?",Fearfully fascinating subject.,"Oh, nice to meet you.",He will be your Defense Against the Dark Arts teacher at Hogwarts,"HARRY, This is Professor Quirrell. "
56,"But, Hagrid, how am I to pay for all this?",It's the fastest model yet.,Look at it! The new Nimbus 2000!,It's a world-class racing broom.,"And over there, all your bits and bobs for doing your wizardry.",Here's where you'll get your quills and your ink.,"Welcome, HARRY, to Diagon Alley.","I'm not sure I'm exactly the right person to tell you that, HARRY.","All those people back there, how is it they know who I am?","But why am I famous, Hagrid?","See, HARRY? You're famous."
57,I haven't any money.,"But, Hagrid, how am I to pay for all this?",It's the fastest model yet.,Look at it! The new Nimbus 2000!,It's a world-class racing broom.,"And over there, all your bits and bobs for doing your wizardry.",Here's where you'll get your quills and your ink.,"Welcome, HARRY, to Diagon Alley.","I'm not sure I'm exactly the right person to tell you that, HARRY.","All those people back there, how is it they know who I am?","But why am I famous, Hagrid?"
58,"Hagrid, what exactly are these things?",Except perhaps Hogwarts.,"Ain't no safer place, not one.","Gringotts, the wizard bank.","Well there's your money, HARRY.",I haven't any money.,"But, Hagrid, how am I to pay for all this?",It's the fastest model yet.,Look at it! The new Nimbus 2000!,It's a world-class racing broom.,"And over there, all your bits and bobs for doing your wizardry."
59,"What's in there, Hagrid?",Vault 713.,"Didn't think your mum and dad will leave you with nothing, now did ya?","Key, please.","Lamp, please.",Vault 687.,Very well.,It's about You-Know-What in vault you-know-which.,Professor Dumbledore gave me this.,"Oh, and there's something else as well.",Ha! Here's the little devil.
60,I still need... a wand.,"Best not to mention this to anyone, HARRY.",Stand back.,Hogwarts business. Very secret.,"Can't tell you, HARRY.","What's in there, Hagrid?",Vault 713.,"Didn't think your mum and dad will leave you with nothing, now did ya?","Key, please.","Lamp, please.",Vault 687.
61,Hello?, Won't be long., I just got one more thing I gotta do.,Why don't you run along there and wait.,There ain't no place better.,"A wand? Well, you'll want Ollivanders.",I still need... a wand.,"Best not to mention this to anyone, HARRY.",Stand back.,Hogwarts business. Very secret.,"Can't tell you, HARRY."
62,Hello?,Hello?, Won't be long., I just got one more thing I gotta do.,Why don't you run along there and wait.,There ain't no place better.,"A wand? Well, you'll want Ollivanders.",I still need... a wand.,"Best not to mention this to anyone, HARRY.",Stand back.,Hogwarts business. Very secret.
63,"Sorry, but what's curious?",Very curious.,I wonder.. Curious.,No matter.,"No, no, definitely not.",Perhaps… this,Apparently not.,Give it a wave.,Here we are.,It seems only yesterday that your mother and father were in here buying their first wands.,"I wondered when I'd be seeing you, Mr. Potter."
64,And who owned that wand?,It is curious that you should be destined for this wand when its brother gave you that scar. ,Just one other.,"It so happens that the phoenix whose tail feather resides in your wand, gave another feather.","I remember every wand I've ever sold, Mr. Potter.","Sorry, but what's curious?",Very curious.,I wonder.. Curious.,No matter.,"No, no, definitely not.",Perhaps… this
65,"He killed my parents, didn't he?",You seem very quiet.,"You all right, HARRY?",Happy birthday.,HARRY! HARRY!,"Terrible yes, but great","After all, He-Who-Must-Not-Be-Named did great things.",But I think it is clear that we can expect great things from you.,It's not always clear why.,"The wand chooses the wizard, Mr. Potter.",We do not speak his name.
66,The one who gave me this.,"He killed my parents, didn't he?",You seem very quiet.,"You all right, HARRY?",Happy birthday.,HARRY! HARRY!,"Terrible yes, but great","After all, He-Who-Must-Not-Be-Named did great things.",But I think it is clear that we can expect great things from you.,It's not always clear why.,"The wand chooses the wizard, Mr. Potter."
67,"You know, Hagrid. ",The one who gave me this.,"He killed my parents, didn't he?",You seem very quiet.,"You all right, HARRY?",Happy birthday.,HARRY! HARRY!,"Terrible yes, but great","After all, He-Who-Must-Not-Be-Named did great things.",But I think it is clear that we can expect great things from you.,It's not always clear why.
68,I know you do.,"You know, Hagrid. ",The one who gave me this.,"He killed my parents, didn't he?",You seem very quiet.,"You all right, HARRY?",Happy birthday.,HARRY! HARRY!,"Terrible yes, but great","After all, He-Who-Must-Not-Be-Named did great things.",But I think it is clear that we can expect great things from you.
69,Maybe if you wrote it down?,His name was V..., His name was V...,A few years ago there was a one wizard who went as bad as he can go.,Some of them go bad.,Not all wizards are good.,"First, and understand this HARRY because it's very important:",I know you do.,"You know, Hagrid. ",The one who gave me this.,"He killed my parents, didn't he?"
70,Voldemort?,"All right, Voldemort.","No, I can't spell it.",Maybe if you wrote it down?,His name was V..., His name was V...,A few years ago there was a one wizard who went as bad as he can go.,Some of them go bad.,Not all wizards are good.,"First, and understand this HARRY because it's very important:",I know you do.
71,Me? Voldemort tried to kill me?,Except you.,"Nobody, not one.",But nobody lived once he decided to kill them.,Your parents fought against him.,Anyone that stood up to him ended up dead.,Brought them over to the Dark Side.,Voldemort started to gather some followers.,"It was dark times, HARRY. Dark times.",Voldemort?,"All right, Voldemort."
72,What happened to V...?,"A mark like that only comes from being touched by a curse, and an evil curse at that.","Yes. That ain't no ordinary cut on your forehead, HARRY.",Me? Voldemort tried to kill me?,Except you.,"Nobody, not one.",But nobody lived once he decided to kill them.,Your parents fought against him.,Anyone that stood up to him ended up dead.,Brought them over to the Dark Side.,Voldemort started to gather some followers.
73,To You-Know-Who?,What happened to V...?,"A mark like that only comes from being touched by a curse, and an evil curse at that.","Yes. That ain't no ordinary cut on your forehead, HARRY.",Me? Voldemort tried to kill me?,Except you.,"Nobody, not one.",But nobody lived once he decided to kill them.,Your parents fought against him.,Anyone that stood up to him ended up dead.,Brought them over to the Dark Side.
74,Platform 9 3/4?,Stick to your ticket.,"Stick to it, HARRY that's very important. ",Here's your ticket. ,"Now, uh, your train leaves in 10 minutes.","Well, he'll be wanting to see me.",Dumbledore will be wanting his...,"Sorry, HARRY, I'm gonna have to leave you.","Blimey, is that the time?",What are you looking at?,You're the boy who lived.
75,"But, Hagrid, there must be a mistake.",Platform 9 3/4?,Stick to your ticket.,"Stick to it, HARRY that's very important. ",Here's your ticket. ,"Now, uh, your train leaves in 10 minutes.","Well, he'll be wanting to see me.",Dumbledore will be wanting his...,"Sorry, HARRY, I'm gonna have to leave you.","Blimey, is that the time?",What are you looking at?
76,This says platform 9 3/4.,"But, Hagrid, there must be a mistake.",Platform 9 3/4?,Stick to your ticket.,"Stick to it, HARRY that's very important. ",Here's your ticket. ,"Now, uh, your train leaves in 10 minutes.","Well, he'll be wanting to see me.",Dumbledore will be wanting his...,"Sorry, HARRY, I'm gonna have to leave you.","Blimey, is that the time?"
77,"There's no such thing, is there?",This says platform 9 3/4.,"But, Hagrid, there must be a mistake.",Platform 9 3/4?,Stick to your ticket.,"Stick to it, HARRY that's very important. ",Here's your ticket. ,"Now, uh, your train leaves in 10 minutes.","Well, he'll be wanting to see me.",Dumbledore will be wanting his...,"Sorry, HARRY, I'm gonna have to leave you."
78,Excuse me. Excuse me.,Sorry.,"There's no such thing, is there?",This says platform 9 3/4.,"But, Hagrid, there must be a mistake.",Platform 9 3/4?,Stick to your ticket.,"Stick to it, HARRY that's very important. ",Here's your ticket. ,"Now, uh, your train leaves in 10 minutes.","Well, he'll be wanting to see me."
79,"Excuse me Sir, Can you tell me where I might find platform 9 3/4?",Right on your left Madam.,Excuse me. Excuse me.,Sorry.,"There's no such thing, is there?",This says platform 9 3/4.,"But, Hagrid, there must be a mistake.",Platform 9 3/4?,Stick to your ticket.,"Stick to it, HARRY that's very important. ",Here's your ticket. 
